Response,Codes,physiological/emotional,Vicarious,Mastery,Social Persuasion,Utility Value,Media Triggered,Event Triggered,Intrinsic Value,Intrinsic Value (Astronomy),Attainment Value,Intrinsic Social,Cost (Emotional),Cost (Outside Effort),Cost (Loss),Cost (Task Effort),
"From the very beginning I had a love for math and science. I loved how the numbers just made sense in my mind and loathed the feeling of solving a complicated problem. I found myself asking my parents and teachers questions I had about the way the world worked and the inter-workings of different simple machines I encountered. When I got to high school I searched for every opportunity to immerse myself in the science and math community. The notion that I could select the things I wanted to learn about really enthused me. My first interaction with rudimentary physics was when I had the opportunity to take AP Physics 1 and 2. I looked forward to going to those classes everyday and loved how it allowed me to explain the curiosities I came across. This is also one of the first times I realized the lack of women in physics programs. I was one of two women in my physics 2 class and this angered me in a way. But"","" it also allowed me to be confidence in my own abilities and urged me to want to pursue a career in physics.","Intrinsic Value, Physiological/Emotional, Cost (Emotional)",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
"I first took a physics class in my junior year of high school. My dad is a physics professor"","" so I`d been exposed to it beforehand when he told us about his research and took us to the department. That sparked some interest in me"","" but my high school teacher definitely set the ball rolling - he engaged with students and didn`t mind taking extra time to reexplain concepts in new ways"","" which made the subject accessible and fascinating. I felt like I left class each day with a warped and new view of the world.Last year I took a second physics class and found it interesting enough to try adding as a major in college. Being first and foremost an art student"","" I feel like my second major sometimes pull me apart from the other art students"","" which can be discouraging. Other young girls studying science and math in opposition of the large gender gap"","" however"","" inspire me - I also want to help fight for its closure. I don`t have a job in mind that I`d like to pursue after graduation"","" but I do have a large desire to keep learning about this subject and see where it takes me.","Vicarious Experience, Intrinsic Value, Cost (Loss of Valued Alternatives)",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
"I first considered physics as a major when I took my first physics class in junior year of high school. Originally I did not see myself liking physics"","" but I ended up finding myself enjoying it a lot and putting a lot of extra effort into the class. I owe a lot of that to the teacher I had at the time because he knew that I really liked it and he would always answer my extra questions even though they were beyond the scope of the class. When I expressed interest in pursuing physics further"","" I kind of expected to be told that I wasn`t really cut out for it (not because of things other people said but because of my own perceptions of myself)"","" but I talked to that teacher about it and he encouraged me a lot and told me he thought it was a great choice for me. That meant a lot to me and I don`t think I would be where I am if I had not had that mentorship. Then"","" when I got to college I wasn`t sure if I would be able to ""handle it."" But"","" I ended up doing pretty well in my initial classes and really enjoying the challenge of them. I also found other people in the same/similar majors and had an older student as a mentor who encouraged me. And so I continued on because I liked it and I had no reason not to.","Physiological/Emotional, Social Persuasion, Mastery Experience",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Ever since I was a freshman in high school"","" I knew whatever I was interested in at the moment would never overcome my interest in science. My dad is a physicist"","" and I grew up with him doing science experiments with my sister and I. I was always so interested in how and why everything worked so even though I had never taken a physics class"","" I would be interested in it. Throughout high school I questioned everything. I tried learning for the knowledge"","" not just the grade"","" like several of my peers. Even now"","" I do the same. Some might think I am honorable by doing things the hard way"","" but that is how I learn. With every mistake comes new understanding"","" and I now know that is why I have chosen the Physics way of life.","Vicarious Experience, Social Persuasion, Intrinsic Value",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"I had always wanted to become an astronaut as a child. When I realized how dangerous it was"","" I decided I wanted to study space from the ground. In Junior High I found astrophysics and since then I have been striving to become an astrophysicist.","Utility Value, Intrinsic Value (Astronomy)",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
"I fell in love with physics while watching NOVA documentaries in middle school. I started read a lot of math and physics books targeted at a more general audience and found it fascinating.Unfortunately I`m very shy by nature. I`ve been plagued with extreme issues of self-doubt. Once upon a time I was the typical straight-A hardworking high school student. However"","" since halfway through highschool I`ve been treated for severe depression and been through a number of confusing medication changes. Eventually I was tested and diagnosed with mild to moderate OCD and ADHD"","" but to this day it has been the depression that has been the hardest issue for me to shake. I still love physics. I`m just not sure if someone ""like me--prone to extreme self-criticism and simultaneously manages to be too perfectionistic and yet astoundingly disorganized--will be able to last in field like physics and STEM. My doubts are as to whether I`ll ever be able to have the discipline and mindset to get what needs to be done during periods when my moods tend to sink.Research and having an advisor/mentor has been an amazing experience. My interactions with a recent past internship really forced me to communicate and engage in ways that I (all too often) shy away from with direct communication with professors""","Media Triggered, Cost (Outside Effort), Cost (Emotional), Event Triggered, Social Persuasion",0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,
"When I started taking physics in 7th grade"","" I was amazed by theexplanatory and predictive power of physics.Although I wanted to major in physics at that time"","" I feltthat it was too late for me to major in the natural sciences. Back at home"","" studentswho made up their minds to go into the sciences went to ha-gwons or weretutored to prepare for science magnet high schools as early as in 4th grade.Because I had not been receiving a structured science education outside ofschool"","" I felt that physics was not an option for me. I ended up going to amagnet school for the social sciences"","" where I met a handful of students whowere planning on going into the natural sciences. I realized that it was notlate to pursue a career in physics"","" and have considered myself a to-bephysicist since then.","Intrinsic Value, Cost (Outside Effort), Vicarious Experience",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
"My middle school teacher influenced me to pursue a career in science.Then I became interested in astronomy and physics on my own.Since starting college"","" my interests changed to applied physics"","" and now I an considering going to a Business school.","Vicarious Experience, Intrinsic Value, Intrinsic Value (Astronomy)",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,
I enjoyed physics in high school. My teacher was very good. Most of what we did in high school was easy for me. I thought I would be good at it.,"Vicarious Experience, Mastery Experience, Intrinsic Value",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
"As a kid"","" I was very interested in the stars and astrophysics related content. I pursued physics inside and outside of school in order to feed this interest. As I got older"","" I realized that I really liked physics as a field"","" but that astrophysics was not what interested me. Currently I am looking into climate related studies. I don`t know exactly what I want to do"","" but I do know that I want to do something that gives back. I want my work to benefit people around me.","Intrinsic Value (Astronomy), Utility Value",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
