Title,Excerpt,Category
Nigeria: Cross River Governor Ayade Dumps PDP for APC,"Cross River State Governor, Ben Ayade has defected from the People's Democratic Party to the governing All Progressives Congress (APC).",politics
"Electoral Bill: Nigeria Senate Mobilises to Override President's Veto, House Defers Battle Till January","Nigerians have not heard the last of President Muhammadu Buhari's refusal to assent to the 2021 Electoral Act (Amendment) Bill,",politics
Nigeria: Central Bank Increases Forex Allocation to Banks,The Central Bank of Nigeria (CBN) on Sunday announced the increase of foreign exchange (forex) allocations to banks to meet,business
"Nigeria to Set Up Fund to Cover 83m Poor Citizens, as Buhari Signs National Health Authority Bill into Law","President Muhammadu Buhari has signed into law the recently passed National Health Insurance Authority Bill 2022, which repealed the National",health
World Bank Revises Sub-Saharan Africa's Growth Forecast to 3.4%,The World Bank has revised its growth forecast for Sub-Saharan Africa (SSA) from -5.1 per cent to 3.4 per cent,business
Putin Signs Law Paving Way to Rule Until 2036,Russian President Vladimir Putin has signed a law allowing him to run for two more terms in the Kremlin once,politics
"Lagos Suspends  NURTW From Parks, Takes Over Transport Union's Operations","As the crisis rocking Nigeria's National Union of Road Transport Workers (NURTW) in the state continues to rage, the Lagos",politics
"Power Devolution, State Police Demands Dominate Nigeria's Constitution Review Hearings","The process for reviewing Nigeria's 1999 Constitution gathered momentum Wednesday with clamours for creation of state police, devolution of powers",politics
"Former Champions Ghana, South Africa Set For AFCON Qualifiers Showdown in Johannesburg Thursday","The biggest African match of the international window takes place in Johannesburg on Thursday, as 1996 champions South Africa face",sports
New Petroleum Act: Nigeria Says No Immediate Removal of Petrol Subsidy,"Nigeria's federal government has said it will not immediately end its current subsidy of petrol, saying it intends to manage",business
Tesla Loses Third of Its Value for the Third Time in A Year,"Tesla Inc's stock extended losses on Monday and is now down by a third from its January record high, making",tech
"Nigeria, Others Losing $95bn in Productivity Due to Unsafe Food Intake",Nigeria's federal government has said consumption of unsafe or contaminated food was causing the country and other low income economies,health
"Merck Covid Pill's Success Slams Moderna Shares, Shakes up Healthcare Sector","Positive clinical trial results for Merck & Co's experimental antiviral COVID-19 pill reverberated through the healthcare sector on Friday, sending",health
"Euro 2020: France, Portugal Advance as Ronaldo Ties International Goals Record in Draw",Portugal's Cristiano Ronaldo tied the all-time men's record for international goals with a pair of penalties in a 2-2 draw,sports
Abraham Scores Twice as Chelsea Thrash West Ham  3-0,Tammy Abraham scored twice on Monday as Chelsea ended their recent mini-slump by beating West Ham United at Stamford Bridge,sports
"Nigeria: Against Mood of the Nation, PDP Retains Chairmanship in South","As predicted by many and against the mood of the nation, the main opposition Peoples Democratic Party (PDP), may have",politics
Two Nigerian NBA Basketballers to Headline First Virtual 'Power Forward Huddle' Initiative,NBA All-Star Victor Oladipo and 2015 NBA Champion Festus Ezeli will headline the first virtual 'Power Forward Huddle'- a youth,health
Oil Prices Near $80 as Omicron Concerns Ease,Oil prices rose over three per cent on Monday on hopes that the Omicron COVID-19 variant would have limited,business
"Nigeria Introduces 6% Tax on Digital Services, Non-Resident Companies",Nigeria's federal government on Wednesday disclosed that henceforth it would charge offshore companies providing digital services to local customers in,business
