content,score
Amazon alwaysdelivers. I'm a very busy person that don't have time to go out and shop. so I turn to Amazon to deliver my things and they do. from groceries to things I need for my remodeled restroom. ,5
"Shop Amazon often. Always prompt deliveries. Always what I ordered. Thank you"","" Amazon!",5
I love your thing you sell,5
Trash,1
"Robbed"","" again. Unfortunately I need to work full time and that means I need to sleep. Meanwhile the hoards of heroin junkies wander the streets stealing any packages they want with absolutely no consequences but me? I get to waste my hard earned money and time being stolen from by both the losers and Amazon. It's sad and I hope everyone involved gets cancer. Back again to say I've been robbed again. No option for money back even tho the item I ordered wasn't in the package at all.",1
"Option mpesa payments big market"","""","""","". Appreciate if you see need.",5
Amazon is the best online shopping app in the wolrd,5
"What is going on???????!!!! Since yesterday"","" when i try to buy something"","" a series of silly dogs appear on the screen. It's my money not good anymore"","" dudes?",1
No option to dissable interruptive ai chat bot that takes up screen space. Claims to have dropped off items missing from open package. Provides no recourse. Expects me to return items I never recieved to get replacement or refund.,1
always great. my preferred shopping method,5
deliveries are good but they leave sometimes at the front door when not knocking at the door wait for the person to answer it,5
It would be 5. Because Amazon is my go to place to shop. But every time it offers a free trial of prime and I go to the Google play store it doesn't activate. Why is it connected with the Google store??,3
Can't do password,3
"The app works ok most of the time but honestly... Amazon delivery has gone seriously down hill. There's no where to add feedback with Amazon in general"","" so here goes.....the delivery has changed for the worst"","" Hermes"","" Evri"","" Royal mail all seem to be struggling. Deliveries are now commonly late"","" notifications are all over the place and inaccurate. Are they overworked and underpaid? I suspect this is the case. Amazon prime shopping"","" is no longer a reliable marketplace.",2
Came with my phone and can't uninstall it. Even if disabled it still wastes 30MB of space for no good reason,1
I like the simplicity of shopping at amazon,5
love it. simple and easy,5
"Amazon India: one of the worst customer service experience ever. Recently I had to order the same phone twice"","" yet Amazon can't help debit the right payment mor deliver my phone on tome. It's simply horrible horrible horrible.",1
App not working for some reason,1
"I ordered the Holy Stone GPS Drone with 4K UHD Camera and a type C adapter"","" expecting them to arrive on time as indicated. Unfortunately"","" the drone was delivered six hours late"","" and the type C adapter was delayed by an entire day. As someone who works and lives in Mt. Rainier"","" time is of the essence. I waited as long as I could"","" but the items arrived too late for my needs. To make matters worse all anybody from amazon could say is pick up your item like they didn't just hear me say I can't",1
"If nothing else"","" I will give it this. It's incredibly convenient and easy. I've yet to find something they don't have and most often they have exactly what I'm looking for and very often at a better price.",5
Doesnt show show tracking updates. Please never use USPS ever they always very late and loose packages,2
Very helpful and convenient,4
Very bad,1
Everything I have ordered has arrived on time and is always good quality products for a great price. I love Amazon Prime!!!,5
The app is awesome,5
Doesn't work,1
Ever since the last update is an EBT customer when I submit my order in the grocery part of the app for Amazon Fresh it does not allow me to put in my PIN number for my EBT card the first time. I have to wait for a message from Amazon in my email saying my order was canceled. After that I have to put place items in new cart and update payment method which was the same method as I was using before. This is time consuming and makes no sense. Charges 9.99/mo for free delivery over $35. GREEDY AF!,2
Get Rufus out of my face. The amount of screen space in the app is limited enough,3
Thank you for all you do at Amazon.,5
"Watch ordering when you have multiple addresses in your membership. My Amazon membership is in MY name"","" I had chosen MY billing address & I had ordered VERY recently from them for a delivery to ME. So why the app chose my sister's address to receive the most recent order"","" I have no idea. It's a serious glitch. I have had to remove all of my sister's information"","" but I am very leery about ordering from them again at this point"","" especially since the cost is still pending.",4
Wow they can't make it run as smooth as bezos head but oh well as long as he gets paid right. You don't need a quality product to be successful I guess.,1
after delivery i will tell about everything,4
"I am absolutely blown away with this app"","" you guys are honestly the only shopping app I go through now when it comes to shopping. I have looked on other shopping apps"","" and honestly no other apps beats the Amazon shopping app. Period",5
"I'm disappointed because I have bought so much stuff from them .Some of my packages have been delivered partially open"","" and I mentioned this on the product review .All of a sudden"","" I was blocked�� from putting any review on a product that I bought because I exposed the fact that some of my packages had been partly opened. A lot of the products have sent me $10 -$30 reward cards that I can't use .This block policy needs to be changed"","" especially when you put money in their pockets .",3
They told me my delivery was coming 15th June But still not deliver,1
so convenient!,5
Nightmare,1
I love it,5
always great products,5
Works as expected.,5
Love to shop with hubby's money,5
doesn't work on my phone,1
"amazon I'd quite nice for shopping"","" tbh and I never had problem if u need to faind or help with something...thankbyou",4
love the convenience. bring on the coupons,4
Please make is avaliable for sri lanka as well like Ali express we could order,1
It's Amazon. Efficient and user friendly app as expected.,5
Good,5
"Great selection"","" unfortunately for me it will basically block me out if my Internet is a little slow.",3
Amazon took my gift card and won't let me use it at all and was no help in solving the problem.,1
I absolutely love it!,5
"I placed an order almost two weeks ago"","" and I paid for it"","" it accepts my card and then a few days later it's payment declined or on hold..I'm not happy about this"","" it told me it was arriving today and then I get a message saying on hold.",1
In the last month ive had several items that didn't arrive on time or weren't shipped at all. They refuse to cancel the order or give a refund,1
Amazon's cash grab adding ad's to prime video is trash. Recommendn you skip prime; the value is not worth the price. Pure greed. Spend your money on one of the other streaming services. They have better content.,1
I need the ai search in the question box to show results from within reviews. The checkout process is aweful. Screams scammy wants you to mess up -Go back to the old design. There are 2 your lists buttons and thats a mess of a page too. The whole thing is a HOT MESS. Worse us looking at photos in reviews w the drop down text box. Repulsive design it lags forever cant quickly scroll thru pics,2
"Needs major help with ui and ux. Just go to settings and see how many options there are. Least intuitive app I have. This is elementary school bologna"","" richest guy in the world lol what a joke",1
"I love amazon. The app is extremely intuitive and works well. Very happy with the ecosystem"","" very happy with the user friendly features and ability to shop quickly and easily. App functions as expected without problems. 10/10 experience"","" 5 stars.",5
Good delivery,5
You all have good stuff and on time,5
I like,5
"Okay so they told me to create a new account I've tried multiple times in the past hour"","" thay keep saying internal error this problem has not been fixed for about a year or so now so I guess my using Amazon to buy books is over...",1
Always easy to use!,5
Very good quick delivery,5
"I tried buying two items. My card was locked at the time"","" but when i unlocked it to update payment"","" it just added a different order with the same items. So I canceled one of the orders and tried getting a hold of support. There is basically no option to talk about whatever with a real person unless you look into subcategories"","" which I find dumb. After some time"","" I got support"","" and they said they'd be able to reorder the order that got canceled. I was supposed to get an email but haven't so far.",2
"fast"","" reliable and if there is a return"","" it can happen quickly.",5
amazing,5
I always have a great shopping experience with Amazon.,5
Most of the time it's great. The only real issue I have is losing packages because delivery drivers are either incapable or unwilling to read the delivery instructions,3
"Stop video auto play once and for all. Down vote this app"","" everybody.",1
Great app!!!,5
Prices aren't as good as they used to be..,3
can find anything you need,5
Good so far,4
Just amazing...,5
good app,5
my back up boo,5
